timestamp,open,high,low,close,volume
2026-07-13T16:00:00,62618.00000000,62629.35000000,62275.77000000,62347.93000000,622.89711000
2026-07-13T16:30:00,62347.92000000,62420.00000000,62212.00000000,62276.00000000,347.79397000
2026-07-13T17:00:00,62276.01000000,62370.00000000,62176.46000000,62182.00000000,330.43548000
2026-07-13T17:30:00,62182.00000000,62224.00000000,61900.00000000,61904.99000000,831.34504000
2026-07-13T18:00:00,61904.99000000,62056.35000000,61824.97000000,61948.00000000,440.67701000
2026-07-13T18:30:00,61948.00000000,62100.00000000,61904.02000000,62020.00000000,221.83794000
2026-07-13T19:00:00,62020.00000000,62110.00000000,61990.00000000,62014.00000000,231.33136000
2026-07-13T19:30:00,62014.00000000,62292.84000000,62013.99000000,62288.23000000,272.10126000
2026-07-13T20:00:00,62288.23000000,62324.74000000,62084.00000000,62217.67000000,154.08820000
2026-07-13T20:30:00,62217.66000000,62266.00000000,62050.71000000,62210.99000000,140.34206000
2026-07-13T21:00:00,62211.00000000,62216.35000000,61992.00000000,62025.99000000,183.66161000
2026-07-13T21:30:00,62025.99000000,62123.34000000,61897.45000000,62065.06000000,201.52161000
2026-07-13T22:00:00,62065.05000000,62224.00000000,62052.02000000,62156.00000000,175.25650000
2026-07-13T22:30:00,62156.00000000,62180.01000000,61911.31000000,61924.00000000,211.19606000
2026-07-13T23:00:00,61924.00000000,62240.00000000,61882.88000000,62164.77000000,144.35151000
2026-07-13T23:30:00,62164.77000000,62347.46000000,62101.61000000,62334.52000000,211.60464000
2026-07-14T00:00:00,62334.52000000,62484.00000000,62272.20000000,62372.76000000,437.96722000
2026-07-14T00:30:00,62372.76000000,62666.66000000,62289.90000000,62549.54000000,390.01514000
2026-07-14T01:00:00,62549.55000000,62640.00000000,62460.03000000,62525.74000000,243.47116000
2026-07-14T01:30:00,62525.75000000,62568.00000000,62468.78000000,62540.42000000,227.84931000
2026-07-14T02:00:00,62540.41000000,62616.00000000,62329.98000000,62384.00000000,328.33428000
2026-07-14T02:30:00,62384.00000000,62645.00000000,62384.00000000,62544.00000000,181.76899000
2026-07-14T03:00:00,62544.00000000,62604.00000000,62314.00000000,62469.47000000,336.98252000
2026-07-14T03:30:00,62469.48000000,62572.89000000,62438.47000000,62572.89000000,102.91363000
2026-07-14T04:00:00,62572.88000000,62657.75000000,62539.71000000,62645.04000000,113.16928000
2026-07-14T04:30:00,62645.04000000,62768.95000000,62645.03000000,62745.23000000,201.54851000
2026-07-14T05:00:00,62745.24000000,62872.00000000,62706.00000000,62842.01000000,311.77010000
2026-07-14T05:30:00,62842.01000000,62871.67000000,62697.69000000,62737.00000000,313.65460000
2026-07-14T06:00:00,62737.00000000,62737.01000000,62647.99000000,62688.81000000,571.19977000
2026-07-14T06:30:00,62688.82000000,62772.48000000,62566.01000000,62624.05000000,170.83198000
2026-07-14T07:00:00,62624.06000000,62655.99000000,62556.01000000,62636.71000000,155.88814000
2026-07-14T07:30:00,62636.72000000,62652.00000000,62516.93000000,62560.92000000,250.27409000
2026-07-14T08:00:00,62560.92000000,62672.20000000,62500.00000000,62664.01000000,165.52975000
2026-07-14T08:30:00,62664.00000000,62807.94000000,62631.75000000,62713.85000000,212.33284000
2026-07-14T09:00:00,62713.85000000,62742.00000000,62652.64000000,62674.27000000,217.99011000
2026-07-14T09:30:00,62674.27000000,62678.23000000,62534.29000000,62629.55000000,396.56310000
2026-07-14T10:00:00,62629.56000000,62734.33000000,62625.06000000,62668.32000000,187.54628000
2026-07-14T10:30:00,62668.32000000,62908.80000000,62609.47000000,62800.00000000,249.67456000
2026-07-14T11:00:00,62800.01000000,62876.63000000,62713.60000000,62865.76000000,145.50777000
2026-07-14T11:30:00,62865.76000000,62923.06000000,62815.27000000,62844.99000000,157.39231000
2026-07-14T12:00:00,62844.99000000,63108.00000000,62780.84000000,62957.97000000,556.38156000
2026-07-14T12:30:00,62957.96000000,63989.54000000,62949.69000000,63960.00000000,2553.40710000
2026-07-14T13:00:00,63959.99000000,64181.99000000,63757.70000000,63958.68000000,890.61098000
2026-07-14T13:30:00,63958.68000000,63980.15000000,63699.03000000,63840.01000000,632.10315000
2026-07-14T14:00:00,63840.01000000,63928.89000000,63580.99000000,63915.06000000,543.33565000
2026-07-14T14:30:00,63915.07000000,64346.49000000,63858.26000000,64305.02000000,546.51748000
2026-07-14T15:00:00,64305.01000000,64554.05000000,64194.64000000,64499.08000000,854.64905000
